"abss","year","guaranteed_income","rental_assistance","children_risk","enh_cooperation","income_lag"
"ALT CAMP (SENSE VALLS)",2013,0.2,0.3,59,1,13.37239674
"ALT CAMP (SENSE VALLS)",2014,0.3,0.3,123.4,1,13.40130206
"ALT CAMP (SENSE VALLS)",2016,0.6,1.3,143.2,0.844998912018568,14.29397048
"ALT CAMP (SENSE VALLS)",2018,0.6,1.8,109.4,0.884695362861302,14.45129005
"ALT CAMP (SENSE VALLS)",2020,1,1.4,86.4,0.9122564051835,15.88483724
"ALT EMPORDÀ (SENSE FIGUERES)",2013,0.9,0.5,31.2,0.465126791122361,11.76153966
"ALT EMPORDÀ (SENSE FIGUERES)",2014,1.1,0.5,39.4,0.546254119523919,11.93808455
"ALT EMPORDÀ (SENSE FIGUERES)",2016,1.1,1.3,39.3,0.553619111457864,12.47927867
"ALT EMPORDÀ (SENSE FIGUERES)",2018,0.8,1.5,15.6,0.566148546732421,14.04758705
"ALT EMPORDÀ (SENSE FIGUERES)",2020,0.8,1.2,21,0.568598056379666,14.69082748
"ALT PENEDÈS (SENSE VILAFRANCA
DEL PENEDÈS)",2013,0.9,0.5,24.9,0.811712855755584,15.4020709
"ALT PENEDÈS (SENSE VILAFRANCA
DEL PENEDÈS)",2014,1,0.5,22.8,0.634280227922607,15.29465334
"ALT PENEDÈS (SENSE VILAFRANCA
DEL PENEDÈS)",2016,1,1.7,40.6,0.684620233217775,15.74357672
"ALT PENEDÈS (SENSE VILAFRANCA
DEL PENEDÈS)",2018,0.8,2.4,28.4,0.647700060234769,16.0331909
"ALT PENEDÈS (SENSE VILAFRANCA
DEL PENEDÈS)",2020,1.1,2.5,40.9,0.65033404365605,17.01744703
"ALT URGELL",2013,0.5,1.2,82.3,1,12.594
"ALT URGELL",2014,0.6,1.2,70.6,1,12.5
"ALT URGELL",2016,0.7,2.7,86.6,1,12.714
"ALT URGELL",2018,0.5,3.3,98.9,1,13.516
"ALT URGELL",2020,0.6,3.5,70.8,1,14.569
"ALTA RIBAGORÇA",2013,0.3,0.7,16.6,1,14.431
"ALTA RIBAGORÇA",2014,0.4,0.8,67,1,14.749
"ALTA RIBAGORÇA",2016,0.9,1.7,476.2,1,14.552
"ALTA RIBAGORÇA",2018,0.3,2,134.9,1,15.359
"ALTA RIBAGORÇA",2020,0.6,2.6,49.3,1,16.124
"ANOIA (SENSE IGUALADA)",2013,0.9,0.5,45.4,0.694491404197768,13.91495749
"ANOIA (SENSE IGUALADA)",2014,1,0.5,34.7,0.72601936051628,13.42028457
"ANOIA (SENSE IGUALADA)",2016,1,1.4,36.9,0.85339485024287,14.3456343
"ANOIA (SENSE IGUALADA)",2018,0.9,1.8,29.4,0.733334171391218,14.91665506
"ANOIA (SENSE IGUALADA)",2020,1.4,1.4,36.9,0.716167388832107,15.81020416
"BAGES (SENSE MANRESA)",2013,1.1,0.6,35.4,0.0528439213778143,14.03967529
"BAGES (SENSE MANRESA)",2014,1.4,0.6,33.1,0.032681995819322,13.80933472
"BAGES (SENSE MANRESA)",2016,1.3,1.3,105.4,0.039591853944428,16.11256741
"BAGES (SENSE MANRESA)",2018,1.1,1.7,15.9,0.0421529259212783,16.39529532
"BAGES (SENSE MANRESA)",2020,1.3,1.7,21.8,0.0625443419652359,17.62732404
"BAIX CAMP (SENSE CAMBRILS
I REUS)",2013,0.3,0.6,85.3,0.749781887977665,13.32563602
"BAIX CAMP (SENSE CAMBRILS
I REUS)",2014,0.4,0.4,101,0.761645235459423,13.42864436
"BAIX CAMP (SENSE CAMBRILS
I REUS)",2016,0.3,1.6,209.6,0.613985123634658,14.16715141
"BAIX CAMP (SENSE CAMBRILS
I REUS)",2018,0.4,2.3,122.7,1,14.6231915
"BAIX CAMP (SENSE CAMBRILS
I REUS)",2020,0.8,1.4,97.6,1,15.84294714
"BAIX EBRE (SENSE TORTOSA)",2013,0.2,0.8,73.3,0.742021728059752,10.87150503
"BAIX EBRE (SENSE TORTOSA)",2014,0.3,0.7,55.9,1,11.06752662
"BAIX EBRE (SENSE TORTOSA)",2016,0.3,1.6,115.9,0.56943045764798,11.61714323
"BAIX EBRE (SENSE TORTOSA)",2018,0.4,2.4,76,0.740633031245773,12.47323125
"BAIX EBRE (SENSE TORTOSA)",2020,0.8,2.5,127,0.740240509737055,13.93379161
"BAIX EMPORDÀ (SENSE PALAFRUGELL
I SANT FELIU DE GUÍXOLS)",2013,1.4,0.6,26.3,0.618802847312187,13.05259073
"BAIX EMPORDÀ (SENSE PALAFRUGELL
I SANT FELIU DE GUÍXOLS)",2014,1.6,0.4,56.1,0.616327448555043,13.03878515
"BAIX EMPORDÀ (SENSE PALAFRUGELL
I SANT FELIU DE GUÍXOLS)",2016,1.5,1.4,60.9,0.862945427361076,13.52501249
"BAIX EMPORDÀ (SENSE PALAFRUGELL
I SANT FELIU DE GUÍXOLS)",2018,1,1.7,70.8,0.780346972865617,14.50097219
"BAIX EMPORDÀ (SENSE PALAFRUGELL
I SANT FELIU DE GUÍXOLS)",2020,1,1.6,57.9,0.809406762771541,15.48950369
"BAIX LLOBREGAT (SENSE
15 DELS 30 MUNICIPIS)",2013,0.2,0.4,20.5,0.0789447972642892,17.89176585
"BAIX LLOBREGAT (SENSE
15 DELS 30 MUNICIPIS)",2014,0.3,0.4,27,0.171315452141037,17.52208924
"BAIX LLOBREGAT (SENSE
15 DELS 30 MUNICIPIS)",2016,0.3,0.9,56,0,18.81308783
"BAIX LLOBREGAT (SENSE
15 DELS 30 MUNICIPIS)",2018,0.3,1,32.4,0,19.33265868
"BAIX LLOBREGAT (SENSE
15 DELS 30 MUNICIPIS)",2020,0.3,1,39.9,0,19.87389706
"BAIX PENEDÈS (SENSE CALAFELL
I EL VENDRELL)",2013,1.1,0.8,109,0.461422467956773,12.90971647
"BAIX PENEDÈS (SENSE CALAFELL
I EL VENDRELL)",2014,1.2,0.7,119.9,1,12.71254084
"BAIX PENEDÈS (SENSE CALAFELL
I EL VENDRELL)",2016,1.5,1.8,104.7,1,13.20759202
"BAIX PENEDÈS (SENSE CALAFELL
I EL VENDRELL)",2018,1.4,2.7,98.3,0.834421782377173,13.41128377
"BAIX PENEDÈS (SENSE CALAFELL
I EL VENDRELL)",2020,2,2.4,109.6,0.836524898993521,14.63417142
"BERGUEDÀ",2013,1,0.6,35.5,0.34971098265896,15.655
"BERGUEDÀ",2014,1.2,0.5,39.2,0.199261992619926,15.505
"BERGUEDÀ",2016,1.3,1.9,28,0.287955787066446,15.935
"BERGUEDÀ",2018,1.1,2.3,55.1,0.189587507204215,16.631
"BERGUEDÀ",2020,1.4,2.4,34.6,0.224356860158311,17.435
"CERDANYA",2013,0.6,0.7,44.8,1,13.133
"CERDANYA",2014,0.6,0.8,25.4,1,13.377
"CERDANYA",2016,0.5,2,49.4,1,13.211
"CERDANYA",2018,0.4,3.1,120.2,1,14.528
"CERDANYA",2020,0.4,2.5,31,1,16.055
"CONCA DE BARBERÀ",2013,0.4,0.4,69.7,1,14.031
"CONCA DE BARBERÀ",2014,0.4,0.4,79,1,14.118
"CONCA DE BARBERÀ",2016,0.3,2.3,113.9,1,14.248
"CONCA DE BARBERÀ",2018,0.4,3,89.3,0.994892108829355,15.46
"CONCA DE BARBERÀ",2020,0.5,2.8,98.6,0.995382274229942,16.418
"GARRAF (SENSE SANT PERE
DE RIBES, SITGES I VILANOVA
I LA GELTRÚ)",2013,0.5,0.3,33.5,0.646723646723647,15.64269079
"GARRAF (SENSE SANT PERE
DE RIBES, SITGES I VILANOVA
I LA GELTRÚ)",2014,0.8,0.3,23.2,0.839135279696902,15.40273326
"GARRAF (SENSE SANT PERE
DE RIBES, SITGES I VILANOVA
I LA GELTRÚ)",2016,1,1.3,91.7,0.841967764789231,16.7174924
"GARRAF (SENSE SANT PERE
DE RIBES, SITGES I VILANOVA
I LA GELTRÚ)",2018,0.9,1.7,51.3,0.839281096457202,17.05857281
"GARRAF (SENSE SANT PERE
DE RIBES, SITGES I VILANOVA
I LA GELTRÚ)",2020,1.5,1.4,28.3,1,18.00664564
"GARRIGUES",2013,0.6,0.3,30.1,0.845238095238095,12.802
"GARRIGUES",2014,0.7,0.3,118.8,1,13.091
"GARRIGUES",2016,0.7,0.8,79.6,1,13.224
"GARRIGUES",2018,0.9,1.2,82,1,13.586
"GARRIGUES",2020,1.2,1.3,50.7,1,14.368
"GARROTXA (SENSE OLOT)",2013,0.6,0.1,2.6,1,15.096
"GARROTXA (SENSE OLOT)",2014,0.6,0.1,5.1,1,15.043
